Заголовок;Текст
Lib.Ru:Отечественная фантастика;"Поиск :
Проза Переводы Поэзия Фантастика Детективы Классика История И ДР. >>>"
"Lib.ru: ""Фантастика""";
"Lib.ru: Журнал ""Самиздат"": Фантастика";
Звезды Самиздата;
Lib.Ru:Кэтрин Азаро;"Поиск :
Проза Переводы Поэзия Фантастика Детективы Классика История И ДР. >>>"
Lib.Ru:Роджер Макбрайд Аллен;"Поиск :
Проза Переводы Поэзия Фантастика Детективы Классика История И ДР. >>>"
Самиздат/Нубирецкий  Аннунак Рептилоидович. Корреляция мозга;"
"
Самиздат/Шкондини-Дуюновский Аристах Владиленович. Я изобрел колесо;"
"
Самиздат/Шкондини-Дуюновский Аристах Владиленович. Я изобрел колесо;"
"
Самиздат/Васильев Иван Сергеевич. Фантастика, приключения, детектив;"
"
Самиздат/Нубирецкий  Аннунак Рептилоидович. Корреляция мозга;"
"
Самиздат/Jean Elaine Grey-Summers. Jean Elaine Grey-Summers;"
"
"Журнал ""Самиздат"".Звезды Самиздата. О фантастике, фэнтези и, немного, детективе";
"Журнал ""Самиздат"": О фантастике, фэнтези и, немного, детективе";"Самиздат: [ Регистрация ]    [ Найти ]   [ Рейтинги ]  [ Обсуждения ]  [ Новинки ]  [ Обзоры ]  [ Помощь | Техвопросы ]
Ссылки:
[ Авторы ] [ Жанры ] [ Произведения ]"
"Lib.ru: Журнал ""Самиздат"": Статья";
"Журнал ""Самиздат"".Звезды Самиздата. О фантастике, фэнтези и, немного, детективе";
"Иллюстрации к ""Супертоп фантастики и фэнтези""";"Самиздат: [ Регистрация ]    [ Найти ]   [ Рейтинги ]  [ Обсуждения ]  [ Новинки ]  [ Обзоры ]  [ Помощь | Техвопросы ]
Ссылки:
© Copyright Звезды Самиздата ( vi_rom@mail.ru ) Обновлено: 21/02/2009. 14k. Статистика. Статья : Фантастика"
"Лейна. Первая книга цикла ""Лейна""";"Самиздат: [ Регистрация ]    [ Найти ]   [ Рейтинги ]  [ Обсуждения ]  [ Новинки ]  [ Обзоры ]  [ Помощь | Техвопросы ]
Ссылки: Школа кожевенного мастерства: сумки, ремни своими руками Юридические услуги. Круглосуточно
Комментарии: 535, последний от 08/12/2024. © Copyright Петрова Елена ( elena-pet@mail.ru ) Размещен: 28/02/2007, изменен: 29/12/2016. 905k. Статистика. Роман : Фэнтези , Юмор Скачать FB2 Оценка: 6.38*104 Ваша оценка: не читать очень плохо плохо посредственно терпимо не читал нормально хорошая книга отличная книга великолепно шедевр Аннотация: Закончен! Что я могу рассказать о себе? Есть люди, которые попадают в историю, а я - периодически в них влипаю. Вот и теперь: ехала себе спокойно с работы, никого не трогала, так надо же было Судьбе отправить меня в экзотический экскурсионный тур в другой мир. И почему я не радуюсь? И вообще, верните меня обратно!!! Ах, надо найти в столице Ледойры Магистра Вероятностей? Ну, это не сложно.   Вот только не стоило, наверное, ввязываться в интриги темноэльфийского двора. Не факт, что теперь меня спасет сказочное везение, демон-хранитель и верные друзья! Как бы их самих спасать не пришлось... Купить в ""Лабиринте"" Книга вышла в ""Альфа-книге"" в июне 2007 г.     Текст выложен полностью. Уважаемые читатели! Сто первое китайское предупреждение: это - авторский черновик. Со всеми его ляпами, ошибками и опечатками, до которых не добралась карающая длань редактора. Читать - на свой страх и риск. Вы предупреждены ;) Переиздание книги ""Лейна"" вышло в издательстве Эксмо в апреле 2016 г. Старая обложка книги от 2007 г."
οΗΜΑΧΜΕΞΙΕ ΖΑΚΜΑ (/RUFANT/ABRANOW/horsmen1.txt);
Оглавление файла (/RUFANT/ABRANOW/abramovy_vsadniki_niotkuda-engl.txt);
ן��������� ����� (/RUFANT/ABRANOW/horsmen2.txt);
Оглавление файла (/RUFANT/ABRANOW/horsmen3.txt);
οΗΜΑΧΜΕΞΙΕ ΖΑΚΜΑ (/RUFANT/ABRANOW/selesta.txt);
Оглавление файла (/RUFANT/ABRANOW/3mira_engl.txt);
Олег Авраменко (персональная страница);"<!--  /* Style Definitions */ a:link, span.MsoHyperlink 	{color:blue; 	text-underline:none; 	text-decoration:none;} a:visited, span.MsoHyperlinkFollowed 	{color:blue; 	text-underline:none;} -->"
"Lib.ru: ""Фантастика"": Рейтинг по дням рождения.";"Проза Переводы Поэзия Фантастика Остросюжетная История [ Современная ][ Классика ]|Фантастика|[ Остросюжетная ][ Самиздат ][ Музыка ][ Заграница ][ Туризм ][ ArtOfWar ] Lib.ru/Фантастика: [ Регистрация ]    [ Найти ]   [ Рейтинги ]  [ Обсуждения ]  [ Новинки ]  [ Помощь ]
"
"Lib.ru: ""Фантастика"": Рейтинг по дням рождения.";"Проза Переводы Поэзия Фантастика Остросюжетная История [ Современная ][ Классика ]|Фантастика|[ Остросюжетная ][ Самиздат ][ Музыка ][ Заграница ][ Туризм ][ ArtOfWar ] Lib.ru/Фантастика: [ Регистрация ]    [ Найти ]   [ Рейтинги ]  [ Обсуждения ]  [ Новинки ]  [ Помощь ]
"
"Lib.ru: ""Фантастика"": Последние поступления";"Проза Переводы Поэзия Фантастика Остросюжетная История [ Современная ][ Классика ]|Фантастика|[ Остросюжетная ][ Самиздат ][ Музыка ][ Заграница ][ Туризм ][ ArtOfWar ] Lib.ru/Фантастика: [ Регистрация ]    [ Найти ]   [ Рейтинги ]  [ Обсуждения ]  [ Новинки ]  [ Помощь ]
"
"Lib.ru: ""Фантастика"": Рейтинг по объему произведений.";"Проза Переводы Поэзия Фантастика Остросюжетная История [ Современная ][ Классика ]|Фантастика|[ Остросюжетная ][ Самиздат ][ Музыка ][ Заграница ][ Туризм ][ ArtOfWar ] Lib.ru/Фантастика: [ Регистрация ]    [ Найти ]   [ Рейтинги ]  [ Обсуждения ]  [ Новинки ]  [ Помощь ]
"
"Lib.ru: ""Фантастика"": Рейтинг по оценкам.";"Проза Переводы Поэзия Фантастика Остросюжетная История [ Современная ][ Классика ]|Фантастика|[ Остросюжетная ][ Самиздат ][ Музыка ][ Заграница ][ Туризм ][ ArtOfWar ] Lib.ru/Фантастика: [ Регистрация ]    [ Найти ]   [ Рейтинги ]  [ Обсуждения ]  [ Новинки ]  [ Помощь ]
"
