Название статьи;Текст
Статья 1. Уголовное законодательство Российской Федерации;УК РФ Статья 1. Уголовное законодательство Российской Федерации 1. Уголовное законодательство Российской Федерации состоит из настоящего Кодекса. Новые законы, предусматривающие уголовную ответственность, подлежат включению в настоящий Кодекс. 2. Настоящий Кодекс основывается наКонституцииРоссийской Федерации и общепризнанных принципах и нормах международного права.
Статья 2. Задачи Уголовного кодекса Российской Федерации;УК РФ Статья 2. Задачи Уголовного кодекса Российской Федерации 1. Задачами настоящего Кодекса являются: охрана прав и свобод человека и гражданина, собственности, общественного порядка и общественной безопасности, окружающей среды, конституционного строя Российской Федерации от преступных посягательств, обеспечение мира и безопасности человечества, а также предупреждение преступлений. 2. Для осуществления этих задач настоящий Кодекс устанавливает основание и принципы уголовной ответственности, определяет, какие опасные для личности, общества или государства деяния признаются преступлениями, и устанавливает виды наказаний и иные меры уголовно-правового характера за совершение преступлений.
Статья 3. Принцип законности;УК РФ Статья 3. Принцип законности 1. Преступность деяния, а также его наказуемость и иные уголовно-правовые последствия определяются только настоящим Кодексом. 2. Применение уголовного закона по аналогии не допускается.
Статья 4. Принцип равенства граждан перед законом;УК РФ Статья 4. Принцип равенства граждан перед законом Лица, совершившие преступления, равны перед законом и подлежат уголовной ответственности независимо от пола, расы, национальности, языка, происхождения, имущественного и должностного положения, места жительства, отношения к религии, убеждений, принадлежности к общественным объединениям, а также других обстоятельств.
Статья 5. Принцип вины;УК РФ Статья 5. Принцип вины 1. Лицо подлежит уголовной ответственности только за теобщественно опасныедействия (бездействие) и наступившие общественно опасные последствия, в отношении которых установлена его вина. 2. Объективное вменение, то есть уголовная ответственность за невиновное причинение вреда, не допускается.
Статья 6. Принцип справедливости;УК РФ Статья 6. Принцип справедливости 1. Наказание и иные меры уголовно-правового характера, применяемые к лицу, совершившему преступление, должны бытьсправедливыми, то есть соответствовать характеру и степениобщественной опасностипреступления, обстоятельствам его совершения иличностивиновного. 2. Никто не может нести уголовную ответственность дважды за одно и то же преступление.
Статья 7. Принцип гуманизма;УК РФ Статья 7. Принцип гуманизма 1. Уголовное законодательство Российской Федерации обеспечивает безопасность человека. 2. Наказание и иные меры уголовно-правового характера, применяемые к лицу, совершившему преступление, не могут иметь своей целью причинение физических страданий или унижение человеческого достоинства.
Статья 8. Основание уголовной ответственности;УК РФ Статья 8. Основание уголовной ответственности Основанием уголовной ответственности является совершение деяния, содержащего все признаки состава преступления, предусмотренного настоящим Кодексом.
Статья 9. Действие уголовного закона во времени;УК РФ Статья 9. Действие уголовного закона во времени 1. Преступность и наказуемость деяния определяются уголовным законом, действовавшим вовремясовершения этого деяния. 2. Временем совершения преступления признается время совершенияобщественно опасногодействия (бездействия) независимо от времени наступления последствий.
Статья 10. Обратная сила уголовного закона;УК РФ Статья 10. Обратная сила уголовного закона 1. Уголовный закон, устраняющий преступность деяния, смягчающий наказание или иным образом улучшающий положение лица, совершившего преступление, имеет обратную силу, то есть распространяется на лиц, совершивших соответствующие деяния до вступления такого закона в силу, в том числе на лиц, отбывающих наказание или отбывших наказание, но имеющих судимость. Уголовный закон, устанавливающий преступность деяния, усиливающий наказание или иным образом ухудшающий положение лица, обратной силы не имеет. 2. Если новый уголовный закон смягчает наказание за деяние, которое отбывается лицом, то это наказание подлежит сокращению впределах, предусмотренных новым уголовным законом.
